name	logo	description
Фонд президентских грантов	/images/partners/pgrants_logo.png	Единый оператор грантов Президента Российской Федерации. Фонд проводит конкурсы и по их результатам предоставляет гранты некоммерческим организациям на реализацию социальных проектов.
Благотворительный фонд Сбербанка «Вклад в будущее»	/images/partners/VK_VB-color.png	Благотворительный фонд создаёт возможности для развития потенциала каждого вне зависимости от места проживания, социально-экономических условий семьи и личных особенностей.
Благотворительный фонд «Абсолют-Помощь»	/images/partners/absolut.jpg	Единый оператор грантов Президента Российской Федерации. Фонд проводит конкурсы и по их результатам предоставляет гранты некоммерческим организациям на реализацию социальных проектов.
Благотворительный фонд Владимира Потанина	/images/partners/VPF.jpg	Один из первых и крупнейших частных фондов в России, созданный предпринимателем Владимиром Потаниным для реализации масштабных гуманитарных программ.
Департамент здравоохранения и социальной помощи населению администрации г. Иркутска	/images/partners/logo-irkutsk.png	Структурное подразделение (орган) администрации города Иркутска, осуществляющий деятельность в сфере охраны здоровья и социальной помощи населению.
Ассоциация "Аутизм - Регионы"	/images/partners/AAR.jpg	Ассоциация некоммерческих организаций, созданных родителями детей с расстройствами аутистического спектра, которые объединились, чтобы совместно отстаивать права, свободу и достоинство людей с аутизмом, а также их семей.
ФКУ «ГБ МСЭ по Иркутской области»	/images/partners/gbmse.jpg	Федеральное казенное учреждение «Главное бюро медико-социальной экспертизы по Иркутской области» Министерства труда и социальной защиты Российской Федерации осуществляет предоставление услуги по проведению медико-социальной экспертизы.
ГАУ ДПО «Институт развития образования Иркутской области»	/images/partners/iro38_ru.png	Государственное автономное учреждение дополнительного профессионального образования Иркутской области «Институт развития образования Иркутской области» оказывает образовательные услуги по реализации образовательных программ дополнительного профессионального образования и дополнительного образования детей и взрослых.
ИГУ «Педагогический институт»	/images/partners/pi-logo.png	История Педагогического института берет свое начало от открытия в 1909 году Учительского института. За более чем вековую историю своего существования вуз прошел огромный путь, обеспечивая рост научного потенциала Сибирского региона.
МОУ ИРМО «СОШ поселка Молодежный»	/images/partners/school.jpg	"Муниципальное общеобразовательное учреждение Иркутского районного муниципального образования «Средняя общеобразовательная школа поселка Молодежный»
Директор: Власевская Наталья Викторовна"
МОУ ИРМО "Марковская СОШ №2"	/images/partners/school.jpg	"Муниципальное общеобразовательное учреждение Иркутского районного муниципального образования «Марковская средняя общеобразовательная школа №2»
Директор: Ефимов Алексей Михайлович"
